question,evaluation,word_tokens,sentiment
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sounds,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,possibly,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,change,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,catastrophe,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,catastrophic,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,event,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,events,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,curious,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,devastation,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,looked,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,impacted,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,earth,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,read,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,happen,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,play,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,gallery,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,completely,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sentence,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,awkward,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hard,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,comment,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,text,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,knowing,NA
